anno,mese,giorno,capannone,razza,n_galline,uova_prodotte,giorni_in_capannone,n_morte,n_vendute
2021,8,1,3,hiline,4994,1440,31,1,5
2021,8,2,3,hiline,4988,2040,32,1,5
2021,8,3,3,hiline,4981,1300,33,3,4
2021,8,4,3,hiline,4975,2080,34,0,6
2021,8,5,3,hiline,4974,1800,35,1,0
2021,8,6,3,hiline,4974,2190,36,0,0
2021,8,7,3,hiline,4974,2139,37,0,0
2021,8,8,3,hiline,4973,2520,38,1,0
2021,8,9,3,hiline,4971,2739,39,2,0
2021,8,10,3,hiline,4967,3030,40,2,2
2021,8,11,3,hiline,4947,3210,41,20,0
2021,8,12,3,hiline,4946,3320,42,1,0
2021,8,13,3,hiline,4946,3450,43,0,0
2021,8,14,3,hiline,4946,3600,44,0,0
2021,8,15,3,hiline,4945,3570,45,1,0
2021,8,16,3,hiline,4945,3670,46,0,0
2021,8,17,3,hiline,4945,3780,47,0,0
2021,8,18,3,hiline,4944,4320,48,1,0
2021,8,19,3,hiline,4944,3950,49,0,0
2021,8,20,3,hiline,4932,3750,50,0,12
2021,8,21,3,hiline,4932,3394,51,0,0
2021,8,22,3,hiline,4932,4050,52,0,0
2021,8,23,3,hiline,4932,4210,53,0,0
2021,8,24,3,hiline,4932,4468,54,0,0
2021,8,25,3,hiline,4932,4574,55,0,0
2021,8,26,3,hiline,4931,4589,56,0,0
2021,8,27,3,hiline,4931,3781,57,0,0
2021,8,28,3,hiline,4926,3800,58,0,5
2021,8,29,3,hiline,4926,3850,59,0,0
2021,8,30,3,hiline,4926,2850,60,0,0
2021,8,31,3,hiline,4926,4200,61,0,0
2021,9,1,3,hiline,4923,4430,62,0,3
2021,9,2,3,hiline,4921,4450,63,2,0
2021,9,3,3,hiline,4916,4400,64,0,5
2021,9,4,3,hiline,4916,4384,65,0,0
2021,9,5,3,hiline,4916,4800,66,0,0
2021,9,6,3,hiline,4916,4400,67,0,0
2021,9,7,3,hiline,4916,4680,68,0,0
2021,9,8,3,hiline,4916,2900,69,0,0
2021,9,9,3,hiline,4915,3980,70,1,0
2021,9,10,3,hiline,4915,3950,71,0,0
2021,9,11,3,hiline,4915,4750,72,0,0
2021,9,12,3,hiline,4915,4350,73,0,0
2021,9,13,3,hiline,4903,3900,74,0,12
2021,9,14,3,hiline,4903,4200,75,0,0
2021,9,15,3,hiline,4903,3950,76,0,0
2021,9,16,3,hiline,4902,3850,77,1,0
2021,9,17,3,hiline,4902,4100,78,0,0
2021,9,18,3,hiline,4902,3500,79,0,0
2021,9,19,3,hiline,4902,4200,80,0,0
2021,9,20,3,hiline,4902,4000,81,0,0
2021,9,21,3,hiline,4902,3500,82,0,0
2021,9,22,3,hiline,4902,4120,83,0,0
2021,9,23,3,hiline,4901,4550,84,1,0
2021,9,24,3,hiline,4901,4550,85,0,0
2021,9,25,3,hiline,4901,,86,0,0
2021,9,26,3,hiline,4901,4390,87,0,0
2021,9,27,3,hiline,4901,3950,88,0,0
2021,9,28,3,hiline,4895,4100,89,0,6
2021,9,29,3,hiline,4895,4120,90,0,0
2021,9,30,3,hiline,4894,4100,91,1,0
2021,10,1,3,hiline,4894,4200,92,0,0
2021,10,2,3,hiline,4887,3745,93,1,6
2021,10,3,3,hiline,4882,4600,94,1,4
2021,10,4,3,hiline,4882,4430,95,0,0
2021,10,5,3,hiline,4882,4375,96,0,0
2021,10,6,3,hiline,4882,4700,97,0,0
2021,10,7,3,hiline,4882,4310,98,0,0
2021,10,8,3,hiline,4882,4530,99,0,0
2021,10,9,3,hiline,4882,4650,100,0,0
2021,10,10,3,hiline,4882,4170,101,0,0
2021,10,11,3,hiline,4882,4200,102,0,0
2021,10,12,3,hiline,4882,4550,103,0,0
2021,10,13,3,hiline,4881,4331,104,1,0
2021,10,14,3,hiline,4881,4450,105,0,0
2021,10,15,3,hiline,4881,4200,106,0,0
2021,10,16,3,hiline,4881,4335,107,0,0
2021,10,17,3,hiline,4881,3500,108,0,0
2021,10,18,3,hiline,4875,3950,109,0,6
2021,10,19,3,hiline,4875,4000,110,0,0
2021,10,20,3,hiline,4875,4100,111,0,0
2021,10,21,3,hiline,4875,3950,112,0,0
2021,10,22,3,hiline,4874,3500,113,1,0
2021,10,23,3,hiline,4870,4100,114,0,0
2021,10,24,3,hiline,4870,4711,115,0,0
2021,10,25,3,hiline,4870,4000,116,0,0
2021,10,26,3,hiline,4870,4230,117,0,0
2021,10,27,3,hiline,4870,4700,118,0,0
2021,10,28,3,hiline,4870,4360,119,0,0
2021,10,29,3,hiline,4870,4500,120,0,0
2021,10,30,3,hiline,4870,4620,121,0,0
2021,10,31,3,hiline,4870,4000,122,0,0
2021,11,1,3,hiline,4870,4329,123,0,0
2021,11,2,3,hiline,4862,5040,124,0,8
2021,11,3,3,hiline,4862,4600,125,0,0
2021,11,4,3,hiline,4860,4120,126,2,0
2021,11,5,3,hiline,4860,4205,127,0,0
2021,11,6,3,hiline,4860,3000,128,0,0
2021,11,7,3,hiline,4860,4305,129,0,0
2021,11,8,3,hiline,4860,4785,130,0,0
2021,11,9,3,hiline,4860,3500,131,0,0
2021,11,10,3,hiline,4860,3370,132,0,0
2021,11,11,3,hiline,4859,4020,133,1,0
2021,11,12,3,hiline,4859,4585,134,0,0
2021,11,13,3,hiline,4859,3930,135,0,0
2021,11,14,3,hiline,4859,4320,136,0,0
2021,11,15,3,hiline,4859,3950,137,0,0
2021,11,16,3,hiline,4859,4120,138,0,0
2021,11,17,3,hiline,4859,4300,139,0,0
2021,11,18,3,hiline,4859,4350,140,0,0
2021,11,19,3,hiline,4856,4288,141,3,0
2021,11,20,3,hiline,4853,4000,142,0,3
2021,11,21,3,hiline,4853,,143,0,0
2021,11,22,3,hiline,4853,4230,144,0,0
2021,11,23,3,hiline,4852,4060,145,1,0
2021,11,24,3,hiline,4821,4190,146,1,30
2021,11,25,3,hiline,4821,4070,147,0,0
2021,11,26,3,hiline,4821,3880,148,0,0
2021,11,27,3,hiline,4821,3680,149,0,0
2021,11,28,3,hiline,4820,3347,150,1,0
2021,11,29,3,hiline,4818,4530,151,2,0
2021,11,30,3,hiline,4818,4215,152,0,0
2021,12,1,3,hiline,4817,4310,153,1,0
2021,12,2,3,hiline,4812,3500,154,0,5
2021,12,3,3,hiline,4812,,155,0,0
2021,12,4,3,hiline,4812,4300,156,0,0
2021,12,5,3,hiline,4811,3037,157,1,0
2021,12,6,3,hiline,4811,3250,158,0,0
2021,12,7,3,hiline,4811,3300,159,0,0
2021,12,8,3,hiline,4811,3950,160,0,0
2021,12,9,3,hiline,4808,4245,161,1,2
2021,12,10,3,hiline,4808,3932,162,0,0
2021,12,11,3,hiline,4807,,163,1,0
2021,12,12,3,hiline,4807,4465,164,0,0
2021,12,13,3,hiline,4806,4169,165,1,0
2021,12,14,3,hiline,4806,3900,166,0,0
2021,12,15,3,hiline,4806,3980,167,0,0
2021,12,16,3,hiline,4806,4250,168,0,0
2021,12,17,3,hiline,4805,3500,169,1,0
2021,12,18,3,hiline,4802,1700,170,0,3
2021,12,19,3,hiline,4802,3650,171,0,0
2021,12,20,3,hiline,4802,3780,172,0,0
2021,12,21,3,hiline,4802,4000,173,0,0
2021,12,22,3,hiline,4802,4130,174,0,0
2021,12,23,3,hiline,4797,4120,175,0,5
2021,12,24,3,hiline,4796,3990,176,1,0
2021,12,25,3,hiline,4796,3820,177,0,0
2021,12,26,3,hiline,4796,3780,178,0,0
2021,12,27,3,hiline,4796,4000,179,0,0
2021,12,28,3,hiline,4796,4150,180,0,0
2021,12,29,3,hiline,4794,3920,181,2,0
2021,12,30,3,hiline,4794,4010,182,0,0
2021,12,31,3,hiline,4794,4100,183,0,0
2022,1,1,3,hiline,4794,2317,184,0,0
2022,1,2,3,hiline,4793,3027,185,1,0
2022,1,3,3,hiline,4793,4230,186,0,0
2022,1,4,3,hiline,4793,3015,187,0,0
2022,1,5,3,hiline,4793,4403,188,0,0
2022,1,6,3,hiline,4791,3078,189,2,0
2022,1,7,3,hiline,4791,3170,190,0,0
2022,1,8,3,hiline,4791,3230,191,0,0
2022,1,9,3,hiline,4791,3091,192,0,0
2022,1,10,3,hiline,4789,3500,193,2,0
2022,1,11,3,hiline,4789,3500,194,0,0
2022,1,12,3,hiline,4789,3800,195,0,0
2022,1,13,3,hiline,4788,3210,196,1,0
2022,1,14,3,hiline,4788,3900,197,0,0
2022,1,15,3,hiline,4788,3050,198,0,0
2022,1,16,3,hiline,4788,3940,199,0,0
2022,1,17,3,hiline,4787,3500,200,1,0
2022,1,18,3,hiline,4787,3700,201,0,0
2022,1,19,3,hiline,4787,3950,202,0,0
2022,1,20,3,hiline,4785,3050,203,2,0
2022,1,21,3,hiline,4785,3100,204,0,0
2022,1,22,3,hiline,4782,3500,205,0,3
2022,1,23,3,hiline,4782,2800,206,0,0
2022,1,24,3,hiline,4781,3540,207,1,0
2022,1,25,3,hiline,4781,3800,208,0,0
2022,1,26,3,hiline,4774,3130,209,2,5
2022,1,27,3,hiline,4774,4490,210,0,0
2022,1,28,3,hiline,4774,4030,211,0,0
2022,1,29,3,hiline,4769,3850,212,0,5
2022,1,30,3,hiline,4769,3200,213,0,0
2022,1,31,3,hiline,4769,3475,214,0,0
2022,2,1,3,hiline,4769,3660,215,0,0
2022,2,2,3,hiline,4762,5050,216,1,6
2022,2,3,3,hiline,4761,3860,217,1,0
2022,2,4,3,hiline,4746,4830,218,0,15
2022,2,5,3,hiline,4746,4170,219,0,0
2022,2,6,3,hiline,4746,,220,0,0
2022,2,7,3,hiline,4746,4500,221,0,0
2022,2,8,3,hiline,4736,3430,222,0,10
2022,2,9,3,hiline,4735,4290,223,1,0
2022,2,10,3,hiline,4735,4110,224,0,0
2022,2,11,3,hiline,4735,3120,225,0,0
2022,2,12,3,hiline,4727,4065,226,2,6
2022,2,13,3,hiline,4724,3500,227,0,3
2022,2,14,3,hiline,4723,4250,228,1,0
2022,2,15,3,hiline,4723,3355,229,0,0
2022,2,16,3,hiline,4721,4290,230,2,0
2022,2,17,3,hiline,4721,4120,231,0,0
2022,2,18,3,hiline,4721,4550,231,0,0
2022,2,19,3,hiline,4720,2208,232,1,0
2022,2,20,3,hiline,4720,4590,233,0,0
2022,2,21,3,hiline,4719,4180,234,1,0
2022,2,22,3,hiline,4719,4045,235,0,0
2022,2,23,3,hiline,4719,4340,236,0,0
2022,2,24,3,hiline,4708,4080,237,1,10
2022,2,25,3,hiline,4708,4630,238,0,0
2022,2,26,3,hiline,4708,3210,239,0,0
2022,2,27,3,hiline,4708,4365,240,0,0
2022,2,28,3,hiline,4707,3820,241,1,0
2022,3,1,3,hiline,4706,3690,242,1,0
2022,3,2,3,hiline,4706,3630,243,0,0
2022,3,3,3,hiline,4701,3045,244,0,5
2022,3,4,3,hiline,4695,3890,245,0,6
2022,3,5,3,hiline,4695,3050,246,0,0
2022,3,6,3,hiline,4693,3050,247,2,0
2022,3,7,3,hiline,4693,3160,248,0,0
2022,3,8,3,hiline,4693,3160,249,0,0
2022,3,9,3,hiline,4693,3490,250,0,0
2022,3,10,3,hiline,4693,3046,251,0,0
2022,3,11,3,hiline,4691,3920,252,2,0
2022,3,12,3,hiline,4691,3946,253,0,0
2022,3,13,3,hiline,4691,3590,254,0,0
2022,3,14,3,hiline,4691,3860,255,0,0
2022,3,15,3,hiline,4691,3230,256,0,0
2022,3,16,3,hiline,4691,3988,257,0,0
2022,3,17,3,hiline,4690,3627,258,1,0
2022,3,18,3,hiline,4690,3630,259,0,0
2022,3,19,3,hiline,4684,3823,260,0,6
2022,3,20,3,hiline,4680,3130,261,4,0
2022,3,21,3,hiline,4680,3250,262,0,0
2022,3,22,3,hiline,4680,3220,263,0,0
2022,3,23,3,hiline,4677,3965,264,3,0
2022,3,24,3,hiline,4675,3306,265,2,0
2022,3,25,3,hiline,4675,3360,266,0,0
2022,3,26,3,hiline,4671,3490,267,0,4
2022,3,27,3,hiline,4667,2840,268,4,0
2022,3,28,3,hiline,4667,3530,269,0,0
2022,3,29,3,hiline,4659,2720,270,4,4
2022,3,30,3,hiline,4653,3230,271,2,4
2022,3,31,3,hiline,4649,3140,272,0,4
2022,4,1,3,hiline,4646,4110,273,3,0
2022,4,2,3,hiline,4631,4400,274,5,10
2022,4,3,3,hiline,4626,3960,275,5,0
2022,4,4,3,hiline,4626,4080,276,0,0
2022,4,5,3,hiline,4623,4063,277,1,2
2022,4,6,3,hiline,4623,3907,278,0,0
2022,4,7,3,hiline,4622,4162,279,1,0
2022,4,8,3,hiline,4617,4357,280,0,5
2022,4,9,3,hiline,4615,3694,281,2,0
2022,4,10,3,hiline,4615,,282,0,0
2022,4,11,3,hiline,4615,5395,283,0,0
2022,4,12,3,hiline,4612,3950,284,1,2
2022,4,13,3,hiline,4612,4358,285,0,0
2022,4,14,3,hiline,4612,4085,286,0,0
2022,4,15,3,hiline,4610,4100,287,2,0
2022,4,16,3,hiline,4605,3430,288,1,4
2022,4,17,3,hiline,4605,4320,289,0,0
2022,4,18,3,hiline,4603,4470,290,2,0
2022,4,19,3,hiline,4603,3940,291,0,0
2022,4,20,3,hiline,4603,1920,292,0,0
2022,4,21,3,hiline,4602,5400,293,1,0
2022,4,22,3,hiline,4602,4810,294,0,0
2022,4,23,3,hiline,4602,4150,295,0,0
2022,4,24,3,hiline,4598,4123,296,3,1
2022,4,25,3,hiline,4598,4533,297,0,0
2022,4,26,3,hiline,4597,3818,298,0,1
2022,4,27,3,hiline,4596,4230,299,0,1
2022,4,28,3,hiline,4596,4330,300,0,0
2022,4,29,3,hiline,4593,4240,301,0,3
2022,4,30,3,hiline,4593,3500,302,0,0
2022,5,1,3,hiline,4593,4221,303,0,0
2022,5,2,3,hiline,4592,4360,304,1,0
2022,5,3,3,hiline,4591,3530,305,1,0
2022,5,4,3,hiline,4590,2480,306,1,0
2022,5,5,3,hiline,4588,4640,307,2,0
2022,5,6,3,hiline,4587,4130,308,1,0
2022,5,7,3,hiline,4586,3980,309,1,0
2022,5,8,3,hiline,4584,4070,310,2,0
2022,5,9,3,hiline,4582,4080,311,2,0
2022,5,10,3,hiline,4582,3980,312,0,0
2022,5,11,3,hiline,4580,3366,313,2,0
2022,5,12,3,hiline,4576,4200,314,4,0
2022,5,13,3,hiline,4576,3054,315,0,0
2022,5,14,3,hiline,4576,4650,316,0,0
2022,5,15,3,hiline,4574,4135,317,2,0
2022,5,16,3,hiline,4573,3730,318,1,0
2022,5,17,3,hiline,4573,4010,319,0,0
2022,5,18,3,hiline,4572,3820,320,1,0
2022,5,19,3,hiline,4572,3230,321,0,0
2022,5,20,3,hiline,4568,4040,322,4,0
2022,5,21,3,hiline,4568,4130,323,0,0
2022,5,22,3,hiline,4565,3745,324,3,0
2022,5,23,3,hiline,4563,4080,325,2,0
2022,5,24,3,hiline,4561,4410,326,2,0
2022,5,25,3,hiline,4558,3720,327,3,0
2022,5,26,3,hiline,4558,4120,328,0,0
2022,5,27,3,hiline,4558,3600,329,0,0
2022,5,28,3,hiline,4556,3640,330,2,0
2022,5,29,3,hiline,4554,2565,331,2,0
2022,5,30,3,hiline,4553,3860,332,1,0
2022,6,1,3,hiline,4553,3420,333,0,0
2022,6,2,3,hiline,4551,4070,334,2,0
2022,6,3,3,hiline,4549,3520,335,2,0
2022,6,4,3,hiline,4549,3390,336,0,0
2022,6,5,3,hiline,4548,2580,337,1,0
